epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.138,0.3869,0.23356,0.78676,0.98122,0.77985,0.88743,0.68384,0.88599,0.66818,0.94729,0.000662835,0.000662835,0.000662835
2,65.8317,0.50496,0.28577,0.80244,0.9951,0.75839,0.84649,0.62386,0.96545,0.65008,0.96023,0.00132292,0.00132292,0.00132292
3,98.082,0.60009,0.33148,0.81653,0.97664,0.77997,0.88654,0.63477,1.08291,0.7705,0.98844,0.00197641,0.00197641,0.00197641
4,130.473,0.63929,0.35664,0.8276,0.98107,0.7734,0.87264,0.61126,1.12623,0.75551,1.02676,0.0019703,0.0019703,0.0019703
5,162.738,0.66796,0.36841,0.8334,0.98025,0.75,0.87831,0.63338,1.09135,0.77936,0.98721,0.0019604,0.0019604,0.0019604
6,195.004,0.6682,0.36183,0.82901,0.97883,0.77985,0.89235,0.63542,1.11276,0.74485,0.9823,0.0019505,0.0019505,0.0019505
7,227.232,0.68015,0.37,0.83286,0.97021,0.77612,0.8765,0.60508,1.14626,0.78018,1.00447,0.0019406,0.0019406,0.0019406
8,259.611,0.67394,0.36776,0.82334,0.97626,0.7671,0.88765,0.63471,1.06632,0.73334,0.98308,0.0019307,0.0019307,0.0019307
9,292.578,0.6843,0.37122,0.83207,0.97614,0.76323,0.88443,0.63527,1.08967,0.80347,0.98572,0.0019208,0.0019208,0.0019208
10,325.396,0.69098,0.37476,0.83547,0.97685,0.76866,0.89495,0.62728,1.14803,0.82243,1.00155,0.0019109,0.0019109,0.0019109
11,358.399,0.67913,0.37,0.83337,0.97119,0.78731,0.87936,0.62927,1.15798,0.78593,1.00396,0.001901,0.001901,0.001901
12,391.569,0.67459,0.37354,0.83338,0.96959,0.76493,0.87548,0.62131,1.1313,0.81722,1.00932,0.0018911,0.0018911,0.0018911
13,424.286,0.66727,0.36872,0.82404,0.97112,0.75746,0.87199,0.63348,1.12447,0.79178,0.99749,0.0018812,0.0018812,0.0018812
14,456.874,0.66864,0.36443,0.82828,0.98953,0.77239,0.89054,0.63113,1.10693,0.78241,0.99215,0.0018713,0.0018713,0.0018713
15,489.709,0.6619,0.36273,0.82808,0.97192,0.77498,0.81395,0.55308,1.12479,0.79753,1.00431,0.0018614,0.0018614,0.0018614
16,522.327,0.66281,0.36492,0.82901,0.97642,0.77243,0.87575,0.62602,1.09939,0.78299,1.00542,0.0018515,0.0018515,0.0018515
17,554.934,0.65616,0.3612,0.82758,0.97621,0.76545,0.86352,0.62778,1.08614,0.78771,0.98842,0.0018416,0.0018416,0.0018416
18,587.544,0.65124,0.35889,0.82798,0.97988,0.76493,0.87987,0.64634,1.05902,0.77552,0.96948,0.0018317,0.0018317,0.0018317
19,620.077,0.64894,0.35051,0.83202,0.98399,0.75373,0.87331,0.64265,1.03457,0.77791,0.96851,0.0018218,0.0018218,0.0018218
20,652.616,0.64183,0.3572,0.82562,0.94595,0.78358,0.8846,0.64597,1.08181,0.80485,0.98917,0.0018119,0.0018119,0.0018119
21,685.087,0.65145,0.35881,0.82448,0.98111,0.77505,0.88616,0.63761,1.10966,0.81151,1.00078,0.001802,0.001802,0.001802
22,717.594,0.63663,0.35102,0.81911,0.97604,0.77612,0.88667,0.64683,1.07541,0.71914,0.99797,0.0017921,0.0017921,0.0017921
23,750.008,0.64208,0.35724,0.82501,0.98066,0.75669,0.88069,0.62838,1.14198,0.84752,1.0241,0.0017822,0.0017822,0.0017822
24,782.448,0.63919,0.353,0.81913,0.96985,0.77612,0.87335,0.61287,1.12613,0.81929,1.00522,0.0017723,0.0017723,0.0017723
25,814.913,0.63634,0.34923,0.82049,0.97629,0.76826,0.82384,0.5806,1.08628,0.79212,0.99465,0.0017624,0.0017624,0.0017624
26,847.321,0.63873,0.35529,0.82289,0.96328,0.78315,0.87971,0.62357,1.10683,0.79086,0.98521,0.0017525,0.0017525,0.0017525
27,879.77,0.62988,0.34801,0.82289,0.97618,0.76452,0.8318,0.58966,1.12271,0.86203,1.01819,0.0017426,0.0017426,0.0017426
28,912.289,0.62977,0.34566,0.81837,0.97894,0.75746,0.87484,0.63157,1.1029,0.84119,0.98832,0.0017327,0.0017327,0.0017327
29,944.826,0.62066,0.33954,0.8175,0.97179,0.77136,0.87994,0.63963,1.08807,0.81297,0.99414,0.0017228,0.0017228,0.0017228
30,977.581,0.63241,0.35022,0.82458,0.98112,0.77541,0.867,0.61822,1.07758,0.76517,0.99385,0.0017129,0.0017129,0.0017129
31,1010.17,0.62684,0.34411,0.82577,0.96705,0.75746,0.84559,0.59208,1.10283,0.80516,1.00915,0.001703,0.001703,0.001703
32,1042.59,0.61552,0.3371,0.82193,0.98947,0.77239,0.88608,0.63919,1.10462,0.76534,0.99754,0.0016931,0.0016931,0.0016931
33,1075.22,0.61347,0.3431,0.81645,0.98109,0.77444,0.88576,0.65628,1.06406,0.83658,0.98625,0.0016832,0.0016832,0.0016832
34,1107.56,0.61863,0.34768,0.81724,0.98575,0.77462,0.87392,0.62747,1.08691,0.72766,0.99109,0.0016733,0.0016733,0.0016733
35,1139.84,0.61394,0.34333,0.81779,0.98103,0.77175,0.88104,0.64476,1.07492,0.76671,0.97763,0.0016634,0.0016634,0.0016634
36,1172.21,0.59875,0.33521,0.81876,0.98452,0.77612,0.89161,0.66235,1.05354,0.72252,0.98337,0.0016535,0.0016535,0.0016535
37,1204.64,0.60517,0.3381,0.81785,0.99364,0.78731,0.88636,0.64382,1.0615,0.71466,0.97757,0.0016436,0.0016436,0.0016436
38,1237.29,0.60472,0.3359,0.8189,0.9719,0.77239,0.88511,0.64317,1.07326,0.71231,0.99089,0.0016337,0.0016337,0.0016337
39,1269.85,0.60478,0.33441,0.81732,0.97241,0.78893,0.88479,0.64453,1.0576,0.74464,0.98303,0.0016238,0.0016238,0.0016238
40,1302.19,0.59682,0.33193,0.81715,0.98599,0.78791,0.88673,0.65167,1.03762,0.6937,0.98571,0.0016139,0.0016139,0.0016139
41,1334.43,0.60032,0.33596,0.81576,0.97641,0.7721,0.8458,0.60262,1.06675,0.77377,0.99389,0.001604,0.001604,0.001604
42,1366.72,0.59481,0.33193,0.81688,0.97165,0.78358,0.87395,0.6227,1.06981,0.78483,0.98854,0.0015941,0.0015941,0.0015941
43,1399,0.59357,0.33672,0.81632,0.99512,0.76047,0.88177,0.6511,1.05421,0.81794,0.99682,0.0015842,0.0015842,0.0015842
44,1431.36,0.58974,0.33112,0.81525,0.98117,0.77785,0.89318,0.66132,1.04717,0.75558,0.98721,0.0015743,0.0015743,0.0015743
45,1463.82,0.60237,0.33467,0.81952,0.98673,0.77612,0.87103,0.63567,1.04186,0.73093,0.97277,0.0015644,0.0015644,0.0015644
46,1496.16,0.59293,0.33218,0.81538,0.98598,0.78696,0.8979,0.65308,1.03177,0.7358,0.98109,0.0015545,0.0015545,0.0015545
47,1528.65,0.57197,0.31941,0.8133,0.99521,0.77595,0.89105,0.66058,1.00503,0.72878,0.96724,0.0015446,0.0015446,0.0015446
48,1561.1,0.57944,0.32373,0.81446,0.99035,0.76611,0.88569,0.66009,0.99721,0.71882,0.96835,0.0015347,0.0015347,0.0015347
49,1593.47,0.57642,0.32434,0.81502,0.97662,0.78358,0.87003,0.62765,1.01408,0.67925,0.97218,0.0015248,0.0015248,0.0015248
50,1625.7,0.57962,0.32291,0.81419,1,0.78103,0.85219,0.6113,1.00661,0.70512,0.97347,0.0015149,0.0015149,0.0015149
51,1657.87,0.58229,0.32572,0.81248,0.97639,0.77167,0.87779,0.64103,1.03724,0.69024,0.97876,0.001505,0.001505,0.001505
52,1690.18,0.57581,0.32368,0.81419,0.98102,0.77985,0.88087,0.65385,1.01718,0.72491,0.99105,0.0014951,0.0014951,0.0014951
53,1722.47,0.5693,0.32145,0.80923,0.93103,0.80597,0.89375,0.66607,1.02126,0.76205,0.97092,0.0014852,0.0014852,0.0014852
54,1754.7,0.56129,0.31734,0.81056,0.98583,0.77905,0.88565,0.65707,1.01631,0.72734,0.98578,0.0014753,0.0014753,0.0014753
55,1787.01,0.57134,0.31829,0.81086,0.99502,0.77612,0.89398,0.66029,1.01024,0.72571,0.97806,0.0014654,0.0014654,0.0014654
56,1819.41,0.5639,0.31399,0.80928,0.97652,0.77578,0.88597,0.65977,1.0278,0.72829,0.99461,0.0014555,0.0014555,0.0014555
57,1851.79,0.56752,0.32045,0.81435,0.97652,0.77592,0.84991,0.62532,1.00261,0.75328,0.97359,0.0014456,0.0014456,0.0014456
58,1884.23,0.55292,0.31209,0.80591,0.98112,0.77562,0.88215,0.6566,1.00755,0.69355,0.97368,0.0014357,0.0014357,0.0014357
59,1916.63,0.55501,0.3166,0.80975,0.98584,0.77957,0.88053,0.6552,0.98898,0.71619,0.96145,0.0014258,0.0014258,0.0014258
60,1949.06,0.54813,0.31124,0.80753,0.98495,0.77985,0.85128,0.62269,1.01119,0.74607,0.98166,0.0014159,0.0014159,0.0014159
61,1981.95,0.55201,0.31202,0.81047,0.98419,0.77239,0.88055,0.65902,0.99072,0.70393,0.97417,0.001406,0.001406,0.001406
62,2014.73,0.54977,0.30972,0.80829,0.97196,0.77601,0.88814,0.66146,1.02534,0.66314,0.97899,0.0013961,0.0013961,0.0013961
63,2047.32,0.56103,0.30988,0.80627,0.99513,0.7631,0.88653,0.66032,1.01431,0.75311,0.98804,0.0013862,0.0013862,0.0013862
64,2079.99,0.54618,0.30915,0.80973,0.99521,0.77525,0.88323,0.64556,1.03031,0.78783,0.98154,0.0013763,0.0013763,0.0013763
65,2112.62,0.54478,0.30615,0.81228,0.98584,0.77915,0.86894,0.64017,1.00503,0.69238,0.98638,0.0013664,0.0013664,0.0013664
66,2145.51,0.54192,0.30486,0.8123,0.99428,0.77239,0.88035,0.65226,0.98832,0.69697,0.96675,0.0013565,0.0013565,0.0013565
67,2178.24,0.54004,0.30516,0.81027,0.98201,0.77239,0.89141,0.66673,0.99564,0.67987,0.97265,0.0013466,0.0013466,0.0013466
68,2211.16,0.54027,0.30497,0.80349,0.9858,0.77726,0.88475,0.65792,0.98515,0.71677,0.97632,0.0013367,0.0013367,0.0013367
69,2244.41,0.54407,0.30517,0.80323,0.99091,0.77612,0.88995,0.66802,0.98331,0.73728,0.97484,0.0013268,0.0013268,0.0013268
70,2277.4,0.5323,0.3009,0.806,0.98129,0.78297,0.88603,0.65941,0.99734,0.73756,0.98211,0.0013169,0.0013169,0.0013169
71,2310.56,0.53583,0.3043,0.80443,0.95495,0.79104,0.88923,0.66425,1.0047,0.74261,0.98809,0.001307,0.001307,0.001307
72,2343.73,0.53175,0.30087,0.80627,0.96,0.80597,0.89774,0.66466,1.02099,0.69729,0.98314,0.0012971,0.0012971,0.0012971
73,2376.77,0.52964,0.29967,0.80384,0.98233,0.76866,0.88756,0.66265,0.97525,0.66577,0.97697,0.0012872,0.0012872,0.0012872
74,2409.74,0.52963,0.30038,0.80283,0.99051,0.77911,0.88769,0.66237,0.98382,0.74461,0.9744,0.0012773,0.0012773,0.0012773
