epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6793.73,0.99417,0.54019,0.89807,0.97186,0.77318,0.87512,0.55251,1.36805,0.86108,1.01949,0.0011882,0.0011882,0.0011882
43,6957.2,0.9955,0.54677,0.8976,0.96291,0.80224,0.87785,0.5387,1.36768,0.84025,1.03005,0.0011684,0.0011684,0.0011684
44,7120,0.99656,0.54425,0.89661,0.98161,0.79674,0.87618,0.55931,1.33079,0.86503,1.00644,0.0011486,0.0011486,0.0011486
45,7282.51,0.98438,0.53878,0.89761,0.97245,0.79034,0.85994,0.54847,1.34806,0.84289,1.01443,0.0011288,0.0011288,0.0011288
46,7445.25,0.95678,0.5213,0.88857,0.95221,0.8179,0.87735,0.56768,1.35,0.85188,1.02925,0.001109,0.001109,0.001109
47,7608.26,0.94094,0.51119,0.88887,0.95547,0.80071,0.87987,0.56368,1.34775,0.83602,1.0403,0.0010892,0.0010892,0.0010892
48,7771.1,0.93045,0.49968,0.88096,0.97629,0.76821,0.86264,0.54981,1.35869,0.87265,1.02839,0.0010694,0.0010694,0.0010694
49,7933.66,0.93513,0.50187,0.88453,0.96332,0.78403,0.86946,0.57633,1.31402,0.85452,1.02184,0.0010496,0.0010496,0.0010496
50,8096.09,0.93849,0.50775,0.8838,0.95954,0.79651,0.86026,0.55119,1.38037,0.84536,1.03516,0.0010298,0.0010298,0.0010298
51,8259.05,0.93608,0.50877,0.8792,0.94234,0.79281,0.87581,0.57266,1.31603,0.79024,1.00114,0.00101,0.00101,0.00101
52,8421.95,0.90925,0.49319,0.88248,0.9405,0.79478,0.88926,0.57625,1.3333,0.85288,1.02195,0.0009902,0.0009902,0.0009902
53,8584.56,0.91105,0.48806,0.87666,0.96559,0.77985,0.87208,0.56407,1.31038,0.82413,1.00986,0.0009704,0.0009704,0.0009704
54,8747.06,0.88946,0.48474,0.87361,0.93935,0.79851,0.88359,0.57636,1.3184,0.81877,1.01434,0.0009506,0.0009506,0.0009506
55,8909.65,0.88487,0.47551,0.87048,0.95914,0.78826,0.87439,0.57649,1.29079,0.85691,1.01474,0.0009308,0.0009308,0.0009308
