epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,216.81,2.27201,5.17307,1.35931,0.51484,0.41791,0.44233,0.19323,2.16361,1.81432,1.42818,0.000662835,0.000662835,0.000662835
2,271.264,2.08616,1.81237,1.27662,0.50036,0.37687,0.37061,0.16276,2.08822,2.07439,1.31645,0.00131634,0.00131634,0.00131634
3,330.221,2.04055,1.72072,1.26678,0.51261,0.4403,0.37601,0.14065,2.24997,1.95866,1.40829,0.00195664,0.00195664,0.00195664
4,403.632,1.99613,1.61066,1.2543,0.56421,0.48134,0.47132,0.2055,2.07126,2.25198,1.31631,0.0019406,0.0019406,0.0019406
5,513.757,1.93056,1.4884,1.2188,0.77128,0.46557,0.54104,0.21766,2.05426,1.65406,1.28222,0.0019208,0.0019208,0.0019208
6,617.882,1.85445,1.31687,1.1773,0.76804,0.59305,0.65479,0.30837,1.84116,1.37233,1.22011,0.001901,0.001901,0.001901
7,735.641,1.77829,1.21578,1.15775,0.77766,0.5873,0.62153,0.25622,2.08214,1.43308,1.25855,0.0018812,0.0018812,0.0018812
8,852.164,1.7323,1.15573,1.13085,0.78024,0.61567,0.70661,0.35688,1.74313,1.26611,1.1579,0.0018614,0.0018614,0.0018614
9,943.699,1.66768,1.08539,1.11385,0.78864,0.59868,0.68124,0.32449,1.83058,1.27043,1.18237,0.0018416,0.0018416,0.0018416
10,1080.78,1.6613,1.06187,1.11381,0.91882,0.6194,0.75058,0.37263,1.75809,1.13923,1.16503,0.0018218,0.0018218,0.0018218
11,1252.93,1.59807,1.01181,1.08721,0.90375,0.65299,0.7721,0.38127,1.71971,1.12199,1.16313,0.001802,0.001802,0.001802
12,1424.59,1.56371,0.97018,1.08211,0.87293,0.68284,0.78204,0.38322,1.75782,1.07485,1.15835,0.0017822,0.0017822,0.0017822
13,1596.9,1.53078,0.93032,1.05211,0.81379,0.72761,0.76729,0.4021,1.67932,1.09274,1.14494,0.0017624,0.0017624,0.0017624
14,1767.63,1.51908,0.91426,1.04806,0.92162,0.70201,0.80366,0.43229,1.66825,1.01633,1.1207,0.0017426,0.0017426,0.0017426
15,1938.33,1.48197,0.87915,1.04582,0.86291,0.65764,0.76285,0.36064,1.8172,1.09825,1.16828,0.0017228,0.0017228,0.0017228
16,2110.31,1.46951,0.86205,1.04004,0.85636,0.70896,0.79513,0.4137,1.65468,1.0457,1.11699,0.001703,0.001703,0.001703
17,2282.39,1.42943,0.83018,1.02212,0.89234,0.68041,0.77881,0.4053,1.66364,1.05247,1.11983,0.0016832,0.0016832,0.0016832
18,2454.75,1.39151,0.80923,1.01367,0.91705,0.75373,0.8152,0.43928,1.61326,0.9618,1.11659,0.0016634,0.0016634,0.0016634
19,2627.23,1.38964,0.80207,1.01101,0.9257,0.72015,0.81588,0.45282,1.60782,1.00566,1.0901,0.0016436,0.0016436,0.0016436
20,2799.69,1.31433,0.76523,0.99226,0.93717,0.72388,0.80357,0.4127,1.68167,1.0443,1.12248,0.0016238,0.0016238,0.0016238
21,2971.21,1.34424,0.77182,0.9885,0.89466,0.72886,0.8044,0.4161,1.72281,0.99415,1.13984,0.001604,0.001604,0.001604
22,3141.99,1.33334,0.75931,0.98216,0.81135,0.76493,0.81813,0.44707,1.60145,0.97379,1.10593,0.0015842,0.0015842,0.0015842
23,3312.58,1.31701,0.74845,0.98644,0.91987,0.7282,0.81422,0.4588,1.55852,1.01949,1.08603,0.0015644,0.0015644,0.0015644
24,3483.35,1.28028,0.73104,0.96521,0.92711,0.75938,0.8378,0.46542,1.5388,0.95297,1.07323,0.0015446,0.0015446,0.0015446
25,3654.17,1.27129,0.71606,0.97085,0.89667,0.75373,0.83053,0.4463,1.57086,0.94457,1.07974,0.0015248,0.0015248,0.0015248
26,3824.74,1.27257,0.7166,0.9618,0.94004,0.76054,0.83386,0.47071,1.57031,0.91299,1.07447,0.001505,0.001505,0.001505
27,3995.51,1.24639,0.6867,0.95874,0.93257,0.76119,0.83926,0.4795,1.5046,0.8767,1.05898,0.0014852,0.0014852,0.0014852
28,4166.75,1.21689,0.66684,0.94767,0.9563,0.73507,0.83859,0.48583,1.4977,0.9523,1.0681,0.0014654,0.0014654,0.0014654
29,4337.73,1.19768,0.65781,0.93945,0.92293,0.75962,0.8314,0.44908,1.54789,0.93316,1.07094,0.0014456,0.0014456,0.0014456
30,4508.83,1.21202,0.66597,0.94963,0.92274,0.75,0.83457,0.49366,1.5159,0.95351,1.06652,0.0014258,0.0014258,0.0014258
31,4679.42,1.18553,0.65185,0.93816,0.90914,0.75,0.84713,0.4869,1.4792,0.88888,1.05596,0.001406,0.001406,0.001406
32,4850.18,1.13709,0.62525,0.9322,0.91131,0.77612,0.85604,0.50331,1.42866,0.8615,1.03847,0.0013862,0.0013862,0.0013862
33,5020.94,1.1494,0.63495,0.92964,0.94461,0.76364,0.858,0.49733,1.45759,0.92914,1.03956,0.0013664,0.0013664,0.0013664
34,5191.5,1.12928,0.6191,0.92327,0.92445,0.78731,0.85793,0.494,1.47003,0.91512,1.05122,0.0013466,0.0013466,0.0013466
35,5362.22,1.1098,0.6047,0.91857,0.9416,0.78216,0.85848,0.50758,1.44257,0.92322,1.03894,0.0013268,0.0013268,0.0013268
