epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,292.179,2.27201,5.17307,1.35931,0.51484,0.41791,0.44233,0.19323,2.16361,1.81432,1.42818,0.000662835,0.000662835,0.000662835
2,589.41,2.09221,1.83014,1.27926,0.47103,0.35821,0.36992,0.16141,2.04788,2.18444,1.31565,0.00132292,0.00132292,0.00132292
3,892.612,2.04811,1.76848,1.26841,0.45199,0.27239,0.22092,0.05776,2.81841,3.52842,1.62683,0.00197641,0.00197641,0.00197641
4,1194.51,1.99594,1.61375,1.25054,0.69678,0.41045,0.48593,0.21928,2.02777,1.8692,1.29228,0.0019703,0.0019703,0.0019703
5,1496.39,1.93232,1.48976,1.21949,0.77221,0.49254,0.60585,0.29473,1.92776,1.44516,1.25158,0.0019604,0.0019604,0.0019604
6,1709.31,1.87674,1.32947,1.19346,0.86966,0.49254,0.62622,0.28027,1.93888,1.45038,1.27459,0.0019505,0.0019505,0.0019505
7,1766.92,1.79379,1.25239,1.17399,0.67777,0.58209,0.61666,0.26978,1.93288,1.37822,1.23712,0.0019406,0.0019406,0.0019406
8,1836.67,1.73936,1.18243,1.14,0.81009,0.62074,0.69103,0.34993,1.78187,1.28162,1.17253,0.0019307,0.0019307,0.0019307
9,2009.05,1.68125,1.10345,1.11813,0.82309,0.625,0.71375,0.36111,1.78931,1.2395,1.17812,0.0019208,0.0019208,0.0019208
10,2182.11,1.66674,1.07532,1.11759,0.78202,0.62918,0.71957,0.36149,1.77598,1.25024,1.18249,0.0019109,0.0019109,0.0019109
11,2355.01,1.6091,1.02147,1.10044,0.84267,0.65299,0.7404,0.38888,1.69741,1.18355,1.15371,0.001901,0.001901,0.001901
12,2528.57,1.58927,0.97401,1.09492,0.79084,0.6913,0.76136,0.35861,1.78242,1.14956,1.18392,0.0018911,0.0018911,0.0018911
13,2701.18,1.55185,0.94392,1.06841,0.84095,0.71022,0.7828,0.3918,1.72904,1.056,1.16578,0.0018812,0.0018812,0.0018812
14,2874.36,1.51289,0.91474,1.05187,0.85375,0.67527,0.78363,0.38624,1.78726,1.06911,1.17085,0.0018713,0.0018713,0.0018713
15,3046.67,1.48058,0.87,1.05306,0.79823,0.70857,0.76349,0.39031,1.7086,1.11428,1.15487,0.0018614,0.0018614,0.0018614
16,3218.27,1.45639,0.85637,1.05034,0.8454,0.71418,0.78238,0.41728,1.65232,1.0781,1.12369,0.0018515,0.0018515,0.0018515
17,3389.86,1.44707,0.8447,1.04043,0.83675,0.72761,0.79643,0.41757,1.69454,1.01067,1.16298,0.0018416,0.0018416,0.0018416
18,3560.81,1.40791,0.80368,1.0309,0.89349,0.68865,0.81191,0.44967,1.63929,1.04895,1.12952,0.0018317,0.0018317,0.0018317
19,3731.66,1.41078,0.81242,1.03223,0.92581,0.69849,0.81131,0.43783,1.64936,1.01666,1.12957,0.0018218,0.0018218,0.0018218
20,3902.85,1.34354,0.75605,1.00916,0.89006,0.75522,0.82548,0.47072,1.59024,0.92189,1.10025,0.0018119,0.0018119,0.0018119
21,4074.2,1.34531,0.76475,1.00153,0.87046,0.72388,0.80465,0.41114,1.70516,0.96924,1.15056,0.001802,0.001802,0.001802
22,4245.41,1.33613,0.75194,0.99604,0.90903,0.70522,0.79062,0.43995,1.60415,1.03492,1.11445,0.0017921,0.0017921,0.0017921
