epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.0181,0.54464,0.31358,0.80945,0.9905,0.77814,0.88616,0.66102,1.03781,0.76498,0.97998,0.000662835,0.000662835,0.000662835
2,192.196,0.64811,0.36199,0.82609,0.99047,0.77582,0.86716,0.62336,1.10979,0.81629,1.01011,0.00131634,0.00131634,0.00131634
3,368.374,0.71202,0.38969,0.83647,0.96355,0.77985,0.87901,0.62046,1.13839,0.82514,0.99628,0.00195664,0.00195664,0.00195664
4,545.332,0.7769,0.42689,0.85542,0.96104,0.77239,0.86924,0.59587,1.16784,0.81967,0.99467,0.0019406,0.0019406,0.0019406
5,722.248,0.78592,0.43026,0.85448,0.95942,0.76493,0.86184,0.57107,1.24705,0.82507,1.02391,0.0019208,0.0019208,0.0019208
6,897.979,0.79729,0.43371,0.85352,0.97247,0.76866,0.88654,0.6077,1.20133,0.77672,1.01514,0.001901,0.001901,0.001901
7,1071.82,0.80776,0.44231,0.85861,0.98081,0.75,0.86197,0.58126,1.26925,0.88058,1.01954,0.0018812,0.0018812,0.0018812
8,1245.63,0.7942,0.42894,0.84656,0.98094,0.76835,0.86635,0.59148,1.21659,0.86828,1.02189,0.0018614,0.0018614,0.0018614
9,1419.12,0.78995,0.43306,0.85259,0.95584,0.77985,0.87432,0.59458,1.21779,0.79002,1.01408,0.0018416,0.0018416,0.0018416
10,1592.68,0.79121,0.43574,0.85461,0.94632,0.78937,0.87355,0.58761,1.25258,0.83913,1.0323,0.0018218,0.0018218,0.0018218
11,1766.25,0.81112,0.44007,0.85496,0.95442,0.78127,0.87701,0.5941,1.21608,0.8117,1.01263,0.001802,0.001802,0.001802
12,1943.6,0.78882,0.43842,0.85733,0.96811,0.793,0.85666,0.5768,1.24593,0.8207,1.02094,0.0017822,0.0017822,0.0017822
13,2120.51,0.79634,0.43633,0.8503,0.97467,0.78731,0.86829,0.59419,1.17235,0.79754,0.99391,0.0017624,0.0017624,0.0017624
14,2298.37,0.78313,0.42564,0.85075,0.96421,0.77612,0.88107,0.61,1.17784,0.76554,0.99637,0.0017426,0.0017426,0.0017426
15,2477.39,0.75696,0.41412,0.84711,0.94527,0.77336,0.86808,0.60097,1.19863,0.87501,1.00999,0.0017228,0.0017228,0.0017228
16,2655.66,0.77885,0.4253,0.85191,0.95899,0.78538,0.8435,0.56843,1.16165,0.78725,0.99953,0.001703,0.001703,0.001703
17,2831.79,0.75615,0.41459,0.84891,0.97561,0.78731,0.87693,0.61346,1.15294,0.79979,0.99809,0.0016832,0.0016832,0.0016832
18,3007.35,0.77176,0.41943,0.85259,0.96247,0.77612,0.88681,0.62361,1.17293,0.80099,0.99453,0.0016634,0.0016634,0.0016634
19,3181.63,0.7635,0.41386,0.85538,0.97714,0.78358,0.87588,0.62309,1.17585,0.82826,0.99726,0.0016436,0.0016436,0.0016436
20,3355.95,0.75265,0.41523,0.84726,0.96407,0.77239,0.87304,0.60784,1.18503,0.86143,1.00522,0.0016238,0.0016238,0.0016238
21,3530.54,0.75829,0.41417,0.84689,0.96733,0.77342,0.87388,0.62198,1.17291,0.83024,1.01048,0.001604,0.001604,0.001604
22,3704.78,0.75312,0.41001,0.84212,0.95556,0.78731,0.8858,0.62665,1.16931,0.79231,0.99703,0.0015842,0.0015842,0.0015842
23,3880.05,0.75189,0.4091,0.84536,0.97609,0.77612,0.87983,0.6176,1.19897,0.82115,0.99744,0.0015644,0.0015644,0.0015644
24,4054.67,0.74231,0.4092,0.83965,0.97328,0.76866,0.87588,0.61281,1.15644,0.74953,1.00701,0.0015446,0.0015446,0.0015446
25,4228.5,0.73361,0.39885,0.84025,0.98235,0.78358,0.88311,0.60059,1.19797,0.76895,1.01257,0.0015248,0.0015248,0.0015248
26,4402.69,0.74272,0.40418,0.84263,0.9717,0.7688,0.86918,0.62094,1.16167,0.85325,0.98315,0.001505,0.001505,0.001505
27,4576.93,0.73289,0.39948,0.84401,0.99265,0.76119,0.85603,0.59759,1.18836,0.82517,1.00451,0.0014852,0.0014852,0.0014852
28,4750.55,0.72939,0.3961,0.83765,0.96749,0.77239,0.87541,0.60568,1.19708,0.83981,1.00692,0.0014654,0.0014654,0.0014654
29,4923.96,0.7092,0.38872,0.83435,0.96309,0.77239,0.87849,0.61393,1.18164,0.85745,1.01091,0.0014456,0.0014456,0.0014456
30,5097.4,0.7368,0.39942,0.84463,0.94712,0.80201,0.86915,0.61597,1.14664,0.80115,0.99604,0.0014258,0.0014258,0.0014258
31,5271.48,0.7209,0.39074,0.84057,0.96365,0.78731,0.8736,0.60895,1.16153,0.78631,1.01078,0.001406,0.001406,0.001406
32,5445.43,0.70041,0.38213,0.84053,0.95263,0.78731,0.87515,0.61046,1.17784,0.78603,1.01498,0.0013862,0.0013862,0.0013862
33,5619.06,0.72231,0.39325,0.83918,0.96729,0.77244,0.85669,0.60074,1.18293,0.88125,1.01596,0.0013664,0.0013664,0.0013664
34,5792.57,0.7076,0.39068,0.8335,0.97555,0.77612,0.86875,0.6151,1.14606,0.79427,1.00027,0.0013466,0.0013466,0.0013466
35,5966.24,0.70071,0.38771,0.83498,0.96759,0.77977,0.87539,0.60829,1.15738,0.78151,1.01504,0.0013268,0.0013268,0.0013268
36,6140.05,0.6905,0.37822,0.83401,0.97978,0.77612,0.87071,0.62352,1.13526,0.84266,1.00269,0.001307,0.001307,0.001307
37,6314.34,0.69753,0.38287,0.83416,0.98013,0.76493,0.86094,0.62101,1.12384,0.78596,0.9935,0.0012872,0.0012872,0.0012872
38,6488.31,0.68497,0.37531,0.83547,0.97524,0.77612,0.88045,0.63183,1.10032,0.791,0.98207,0.0012674,0.0012674,0.0012674
39,6661.6,0.69021,0.37775,0.83188,0.95397,0.7734,0.86413,0.62499,1.10303,0.77903,0.98043,0.0012476,0.0012476,0.0012476
40,6834.95,0.68045,0.37634,0.83563,0.98288,0.77239,0.87376,0.61528,1.14856,0.80557,1.00389,0.0012278,0.0012278,0.0012278
41,7008.82,0.66808,0.3724,0.83084,0.98352,0.77612,0.83695,0.56982,1.14194,0.83067,1.00118,0.001208,0.001208,0.001208
42,7183.19,0.6693,0.36754,0.8312,0.9805,0.76119,0.86719,0.61747,1.11771,0.73803,0.99566,0.0011882,0.0011882,0.0011882
43,7357.33,0.67149,0.37627,0.831,0.98096,0.76886,0.88097,0.63187,1.12313,0.79042,0.98571,0.0011684,0.0011684,0.0011684
44,7530.82,0.66256,0.36983,0.82848,0.9684,0.80041,0.88583,0.64833,1.10538,0.72908,0.98851,0.0011486,0.0011486,0.0011486
45,7704.46,0.65539,0.36639,0.83191,0.97166,0.76767,0.87001,0.62752,1.09403,0.76237,0.98775,0.0011288,0.0011288,0.0011288
46,7878.79,0.652,0.36451,0.82757,0.97717,0.79853,0.89159,0.64401,1.0852,0.75224,0.98235,0.001109,0.001109,0.001109
47,8064.76,0.64415,0.36009,0.83024,0.98942,0.78358,0.89243,0.64069,1.0818,0.76009,0.98293,0.0010892,0.0010892,0.0010892
48,8240.42,0.64051,0.35751,0.82524,0.99517,0.76819,0.8859,0.63871,1.10323,0.79342,1.00283,0.0010694,0.0010694,0.0010694
49,8415.78,0.63496,0.35444,0.82738,0.97681,0.78585,0.88292,0.64339,1.07648,0.73241,0.98262,0.0010496,0.0010496,0.0010496
50,8591.31,0.6428,0.35891,0.82456,0.9655,0.79104,0.88529,0.63925,1.10131,0.74628,0.98458,0.0010298,0.0010298,0.0010298
51,8765.96,0.63646,0.35568,0.82121,0.97059,0.78731,0.87768,0.62195,1.13962,0.74097,1.00926,0.00101,0.00101,0.00101
52,8941.22,0.62196,0.34955,0.8256,0.98917,0.77612,0.87873,0.64536,1.08083,0.73737,0.98722,0.0009902,0.0009902,0.0009902
53,9115.26,0.622,0.34605,0.82149,0.97934,0.79104,0.87931,0.63866,1.08115,0.70283,0.98193,0.0009704,0.0009704,0.0009704
54,9288.81,0.61524,0.34245,0.82258,0.98772,0.78358,0.8892,0.64982,1.05698,0.71861,0.97171,0.0009506,0.0009506,0.0009506
55,9461.87,0.6242,0.34373,0.82059,0.98155,0.79415,0.89993,0.65882,1.07082,0.72428,0.97617,0.0009308,0.0009308,0.0009308
56,9635.46,0.6148,0.34353,0.82024,0.96878,0.79851,0.89366,0.64188,1.07809,0.72246,0.97546,0.000911,0.000911,0.000911
57,9809.09,0.61492,0.34464,0.82731,0.97238,0.78819,0.86236,0.62518,1.05588,0.74202,0.97632,0.0008912,0.0008912,0.0008912
58,9981.98,0.60035,0.33535,0.81703,0.98245,0.78731,0.87564,0.64003,1.03402,0.71007,0.97418,0.0008714,0.0008714,0.0008714
59,10155.5,0.59951,0.33878,0.82023,0.98421,0.78731,0.88426,0.65449,1.0258,0.73168,0.96258,0.0008516,0.0008516,0.0008516
60,10329,0.59278,0.33474,0.81753,0.9858,0.77711,0.88263,0.6477,1.04673,0.7786,0.97962,0.0008318,0.0008318,0.0008318
61,10502.1,0.58594,0.33449,0.81895,0.98246,0.77239,0.87073,0.64649,1.05002,0.77553,0.9755,0.000812,0.000812,0.000812
62,10675.1,0.58745,0.33207,0.81706,0.98013,0.78358,0.87805,0.65088,1.03976,0.76049,0.97342,0.0007922,0.0007922,0.0007922
63,10847.8,0.58508,0.32947,0.81649,1,0.77742,0.88063,0.65865,1.04211,0.79464,0.97175,0.0007724,0.0007724,0.0007724
64,11024.6,0.57707,0.33015,0.81739,0.99523,0.7788,0.88465,0.65286,1.06073,0.77675,0.98006,0.0007526,0.0007526,0.0007526
65,11201.8,0.57589,0.32412,0.81907,0.98591,0.78317,0.89072,0.66465,1.04146,0.74502,0.9748,0.0007328,0.0007328,0.0007328
66,11378,0.57377,0.32303,0.81914,0.99524,0.78028,0.88379,0.65742,1.02324,0.75648,0.96585,0.000713,0.000713,0.000713
67,11554.6,0.56424,0.32116,0.81644,0.98715,0.77239,0.87946,0.65496,1.05577,0.7477,0.97847,0.0006932,0.0006932,0.0006932
68,11731.4,0.55917,0.31763,0.81234,0.98208,0.78358,0.87779,0.65388,1.02302,0.7571,0.97477,0.0006734,0.0006734,0.0006734
69,11906.4,0.56305,0.32075,0.81159,0.98668,0.78358,0.87081,0.63708,1.03164,0.75967,0.9723,0.0006536,0.0006536,0.0006536
70,12079.5,0.54838,0.31302,0.8124,0.99065,0.79027,0.87135,0.63903,1.03172,0.71773,0.98242,0.0006338,0.0006338,0.0006338
71,12252.1,0.55163,0.31644,0.81147,0.98154,0.79377,0.89017,0.66134,1.03393,0.70245,0.98839,0.000614,0.000614,0.000614
72,12424.9,0.54395,0.30754,0.81142,0.97731,0.79104,0.8741,0.64336,1.04363,0.715,0.98297,0.0005942,0.0005942,0.0005942
73,12597.3,0.54101,0.30959,0.8081,0.97818,0.79104,0.86541,0.63873,0.9994,0.69736,0.97421,0.0005744,0.0005744,0.0005744
74,12769.3,0.53861,0.30847,0.80729,0.99515,0.78358,0.86696,0.64039,1.01158,0.72443,0.97633,0.0005546,0.0005546,0.0005546
75,12941.4,0.52915,0.30496,0.80588,0.99527,0.78529,0.88673,0.659,1.01952,0.73839,0.97329,0.0005348,0.0005348,0.0005348
76,13113.4,0.53504,0.30647,0.81271,0.98147,0.79074,0.89091,0.66834,1.01405,0.73594,0.97882,0.000515,0.000515,0.000515
77,13285.4,0.52852,0.30351,0.81043,0.97695,0.79066,0.87463,0.64717,1.02089,0.73957,0.98247,0.0004952,0.0004952,0.0004952
78,13457.4,0.52424,0.30084,0.8083,0.98133,0.78455,0.88643,0.67047,0.99577,0.68373,0.97298,0.0004754,0.0004754,0.0004754
79,13629.3,0.52579,0.30173,0.80641,0.9943,0.78731,0.87083,0.64493,1.00551,0.70574,0.97913,0.0004556,0.0004556,0.0004556
80,13803.9,0.51532,0.29562,0.80548,0.99051,0.77859,0.86701,0.64872,0.99549,0.69985,0.97454,0.0004358,0.0004358,0.0004358
81,13982.1,0.51325,0.29714,0.80595,0.99073,0.79732,0.89242,0.66117,0.99393,0.6816,0.98137,0.000416,0.000416,0.000416
82,14159.7,0.51288,0.29274,0.80437,0.99068,0.79355,0.88202,0.65586,1.01022,0.73027,0.97972,0.0003962,0.0003962,0.0003962
83,14346.6,0.5021,0.28822,0.80581,0.98555,0.78358,0.84902,0.6265,0.99623,0.709,0.97716,0.0003764,0.0003764,0.0003764
84,14539.8,0.49793,0.28992,0.80353,0.99526,0.78285,0.86194,0.6352,1.00099,0.7393,0.97566,0.0003566,0.0003566,0.0003566
85,14718.1,0.49969,0.29067,0.80451,0.99065,0.79034,0.88944,0.67119,0.99928,0.70972,0.98152,0.0003368,0.0003368,0.0003368
86,14896.2,0.49434,0.28769,0.8065,0.98435,0.78358,0.87161,0.6558,0.98861,0.71842,0.97614,0.000317,0.000317,0.000317
87,15073.1,0.49262,0.28689,0.80474,0.9812,0.77913,0.8677,0.659,0.98031,0.70003,0.9687,0.0002972,0.0002972,0.0002972
88,15250.2,0.48617,0.28483,0.80238,0.99051,0.77925,0.87444,0.66478,0.98712,0.70833,0.96911,0.0002774,0.0002774,0.0002774
