epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.9138,0.49962,0.2925,0.80284,0.99039,0.76924,0.88266,0.66418,1.00613,0.76772,0.97441,0.000662835,0.000662835,0.000662835
2,181.18,0.56003,0.31761,0.81111,0.97668,0.7815,0.88253,0.65777,1.02728,0.75319,0.97563,0.00131634,0.00131634,0.00131634
3,358.376,0.61153,0.34082,0.81936,0.97911,0.77985,0.86724,0.63059,1.08681,0.77389,0.99327,0.00195664,0.00195664,0.00195664
