epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.2005,0.67723,0.37689,0.83038,0.97574,0.78731,0.88943,0.62487,1.17125,0.7639,0.99782,0.000662835,0.000662835,0.000662835
2,171.836,0.8025,0.43759,0.85386,0.96536,0.79104,0.88477,0.57656,1.26035,0.79458,1.01806,0.00132292,0.00132292,0.00132292
3,337.043,0.88476,0.48209,0.86818,0.94586,0.78231,0.82881,0.52093,1.3547,0.88242,1.03865,0.00197641,0.00197641,0.00197641
4,503.762,0.95481,0.53269,0.88897,0.95866,0.77882,0.84802,0.53312,1.35354,0.80106,1.04333,0.0019703,0.0019703,0.0019703
5,670.786,0.95358,0.52392,0.88666,0.93445,0.77985,0.85144,0.52604,1.38308,0.93319,1.05872,0.0019604,0.0019604,0.0019604
6,838.457,0.97192,0.53204,0.88937,0.97173,0.74627,0.84727,0.55797,1.31911,0.89144,1.02764,0.0019505,0.0019505,0.0019505
7,1006.46,0.97398,0.52962,0.89514,0.91897,0.78731,0.86393,0.5319,1.42906,0.85732,1.0522,0.0019406,0.0019406,0.0019406
8,1172.21,0.96514,0.51696,0.88059,0.94538,0.75746,0.84929,0.54085,1.36156,0.93893,1.03606,0.0019307,0.0019307,0.0019307
9,1337.39,0.95119,0.51823,0.88319,0.91773,0.7908,0.83937,0.51314,1.35033,0.89558,1.03475,0.0019208,0.0019208,0.0019208
10,1502.17,0.95476,0.52548,0.88612,0.94964,0.77406,0.86962,0.5514,1.36318,0.92491,1.04355,0.0019109,0.0019109,0.0019109
11,1666.84,0.95908,0.51929,0.88892,0.9558,0.77612,0.85785,0.53552,1.37863,0.85836,1.04667,0.001901,0.001901,0.001901
12,1831.58,0.93704,0.51062,0.88833,0.94479,0.76619,0.85774,0.54346,1.37338,0.87631,1.03856,0.0018911,0.0018911,0.0018911
13,1996.86,0.9371,0.50718,0.87876,0.91441,0.79104,0.86074,0.55904,1.32841,0.81986,1.03499,0.0018812,0.0018812,0.0018812
14,2162.06,0.93524,0.50311,0.87918,0.93955,0.812,0.88064,0.5709,1.32221,0.80206,1.02704,0.0018713,0.0018713,0.0018713
15,2327.09,0.91789,0.49612,0.8771,0.95561,0.77239,0.8603,0.5619,1.35394,0.84562,1.04581,0.0018614,0.0018614,0.0018614
16,2492,0.92431,0.49836,0.88187,0.98389,0.77985,0.86682,0.55543,1.35329,0.86106,1.02969,0.0018515,0.0018515,0.0018515
17,2657.36,0.91993,0.50063,0.87934,0.96631,0.78358,0.88246,0.5647,1.33036,0.81807,1.0256,0.0018416,0.0018416,0.0018416
18,2823.23,0.90555,0.48756,0.8778,0.96627,0.75373,0.83789,0.54627,1.34648,0.88012,1.02067,0.0018317,0.0018317,0.0018317
19,2994.96,0.90802,0.48901,0.8851,0.95991,0.77985,0.88554,0.58728,1.32042,0.80472,1.02719,0.0018218,0.0018218,0.0018218
20,3162.83,0.88166,0.48432,0.87423,0.95645,0.77985,0.86109,0.54566,1.38985,1.00551,1.05136,0.0018119,0.0018119,0.0018119
21,3331.02,0.89685,0.48533,0.87371,0.97074,0.81343,0.88914,0.58223,1.33711,0.80797,1.03192,0.001802,0.001802,0.001802
22,3499.75,0.88129,0.47771,0.86873,0.9572,0.77612,0.85678,0.54527,1.35853,0.84581,1.04784,0.0017921,0.0017921,0.0017921
23,3667.96,0.89544,0.48495,0.87235,0.96335,0.78731,0.86743,0.56189,1.31113,0.89404,1.02114,0.0017822,0.0017822,0.0017822
24,3836.76,0.86405,0.47343,0.86202,0.94628,0.78731,0.88327,0.57452,1.31274,0.8487,1.02435,0.0017723,0.0017723,0.0017723
